,actor,date,movie,press_rating,producer,spectators_rating
0,Ok-Bin Kim ; Shin Ha-Kyun ; Bang Sung-Jun ; ,22 mars 2018,The Villainess,,Byeong-gil Jeong,"3,0"
1,Ben Affleck ; Henry Cavill ; Gal Gadot ; ,15 novembre 2017,Justice League,"2,1",Zack Snyder,
2,Kristofer Gummerus ; Rami Rusinen ; Matti Onnismaa ; ,11 avril 2018,Rendel,,,"2,6"
3,Dwayne Johnson ; Jack Black ; Kevin Hart ; ,20 décembre 2017,Jumanji : Bienvenue dans la jungle,"2,6",Jake Kasdan,
4,Teresa Palmer ; Michiel Huisman ; Sam Reid ; ,6 mars 2018,2:22,,Paul Currie,"2,7"
5,Daisy Ridley ; John Boyega ; Oscar Isaac ; ,13 décembre 2017,Star Wars - Les Derniers Jedi,"3,5",Rian Johnson,
6,Chris Hemsworth ; Tom Hiddleston ; Cate Blanchett ; ,25 octobre 2017,Thor : Ragnarok,"3,3",Taika Waititi,
7,Gerard Butler ; Jim Sturgess ; Abbie Cornish ; ,1 novembre 2017,Geostorm,"2,0",Dean Devlin,
8,Jackie Chan ; Pierce Brosnan ; Orla Brady ; ,8 novembre 2017,The Foreigner,"2,6",Martin Campbell,
9,Hugh Jackman ; Patrick Stewart ; Dafne Keen ; ,1 mars 2017,Logan,"3,9",James Mangold,
10,Kate Winslet ; Idris Elba ; Beau Bridges ; ,8 novembre 2017,La Montagne entre nous,"2,3",Hany Abu-Assad,
11,Tom Holland ; Michael Keaton ; Robert Downey Jr. ; ,12 juillet 2017,Spider-Man: Homecoming,"3,5",Jon Watts,
12,Taron Egerton ; Colin Firth ; Mark Strong ; ,11 octobre 2017,Kingsman : Le Cercle d'or,"3,1",Matthew Vaughn,
13,Dane DeHaan ; Cara Delevingne ; Clive Owen ; ,26 juillet 2017,Valérian et la Cité des mille planètes,"3,0",Luc Besson,
14,Will Smith ; Joel Edgerton ; Lucy Fry ; ,22 décembre 2017,Bright,,David Ayer,"3,4"
